#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | filter efficiency | name 
#
# k-factor is filter efficiency is most if not all cases
# as of March 2013 this information can be found here:
# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/HSG5MCSamplesandRequests
#
# w+jets
167759 | Sherpa_CT10_ZnunuMassiveCBPt0_CFilterBVeto   | SherpaLowVpT | 5.991E+03 | 1.12 | 2.83E-01 | Zcc  
167760 | Sherpa_CT10_ZnunuMassiveCBPt0_CVetoBVeto     | SherpaLowVpT | 5.991E+03 | 1.12 | 6.89E-01 | Zll  
#
167797 | Sherpa_CT10_ZeeMassiveCBPt70_140_BFilter                    | SherpaHighVpT | 2.95E+01 | 1.12 |  0.083 | Zbb
167798 | Sherpa_CT10_ZeeMassiveCBPt70_140_CFilterBVeto               | SherpaHighVpT | 2.95E+01 | 1.12 |  0.354 | Zcc
167799 | Sherpa_CT10_ZeeMassiveCBPt70_140_CVetoBVeto                 | SherpaHighVpT | 2.95E+01 | 1.12 |  0.563 | Zll
167800 | Sherpa_CT10_ZmumuMassiveCBPt70_140_BFilter                  | SherpaHighVpT | 2.95E+01 | 1.12 |  0.083 | Zbb
167801 | Sherpa_CT10_ZmumuMassiveCBPt70_140_CFilterBVeto             | SherpaHighVpT | 2.95E+01 | 1.12 |  0.354 | Zcc
167802 | Sherpa_CT10_ZmumuMassiveCBPt70_140_CVetoBVeto               | SherpaHighVpT | 2.95E+01 | 1.12 |  0.563 | Zll
167803 | Sherpa_CT10_ZtautauMassiveCBPt70_140_BFilter(fullsim)       | SherpaHighVpTFullSim | 2.95E+01 | 1.12 |  0.083 | Zbb
167804 | Sherpa_CT10_ZtautauMassiveCBPt70_140_CFilterBVeto(fullsim)  | SherpaHighVpTFullSim | 2.95E+01 | 1.12 |  0.354 | Zcc
167805 | Sherpa_CT10_ZtautauMassiveCBPt70_140_CVetoBVeto(fullsim)    | SherpaHighVpTFullSim | 2.95E+01 | 1.12 |  0.563 | Zll
167806 | Sherpa_CT10_ZnunuMassiveCBPt70_140_BFilter                  | SherpaHighVpT | 1.67E+02 | 1.12 |  0.083 | Zbb
167807 | Sherpa_CT10_ZnunuMassiveCBPt70_140_CFilterBVeto             | SherpaHighVpT | 1.67E+02 | 1.12 |  0.354 | Zcc
167808 | Sherpa_CT10_ZnunuMassiveCBPt70_140_CVetoBVeto               | SherpaHighVpT | 1.67E+02 | 1.12 |  0.563 | Zll
#
167809 | Sherpa_CT10_ZeeMassiveCBPt140_280_BFilter                   | SherpaHighVpT | 3.99E+00 | 1.12 |  0.0958 | Zbb
167810 | Sherpa_CT10_ZeeMassiveCBPt140_280_CFilterBVeto              | SherpaHighVpT | 3.99E+00 | 1.12 |  0.369  | Zcc
167811 | Sherpa_CT10_ZeeMassiveCBPt140_280_CVetoBVeto                | SherpaHighVpT | 3.99E+00 | 1.12 |  0.534  | Zll
167812 | Sherpa_CT10_ZmumuMassiveCBPt140_280_BFilter                 | SherpaHighVpT | 3.99E+00 | 1.12 |  0.0958 | Zbb
167813 | Sherpa_CT10_ZmumuMassiveCBPt140_280_CFilterBVeto            | SherpaHighVpT | 3.99E+00 | 1.12 |  0.369  | Zcc     
167814 | Sherpa_CT10_ZmumuMassiveCBPt140_280_CVetoBVeto              | SherpaHighVpT | 3.99E+00 | 1.12 |  0.534  | Zll   
167815 | Sherpa_CT10_ZtautauMassiveCBPt140_280_BFilter(fullsim)      | SherpaHighVpTFullSim | 3.99E+00 | 1.12 |  0.0958 | Zbb           
167816 | Sherpa_CT10_ZtautauMassiveCBPt140_280_CFilterBVeto(fullsim) | SherpaHighVpTFullSim | 3.99E+00 | 1.12 |  0.369  | Zcc               
167817 | Sherpa_CT10_ZtautauMassiveCBPt140_280_CVetoBVeto(fullsim)   | SherpaHighVpTFullSim | 3.99E+00 | 1.12 |  0.534  | Zll             
167818 | Sherpa_CT10_ZnunuMassiveCBPt140_280_BFilter                 | SherpaHighVpT | 2.25E+01 | 1.12 |  0.0958 | Zbb 
167819 | Sherpa_CT10_ZnunuMassiveCBPt140_280_CFilterBVeto            | SherpaHighVpT | 2.25E+01 | 1.12 |  0.369  | Zcc      
167820 | Sherpa_CT10_ZnunuMassiveCBPt140_280_CVetoBVeto              | SherpaHighVpT | 2.25E+01 | 1.12 |  0.534  | Zll 
#
167821 | Sherpa_CT10_ZeeMassiveCBPt280_500_BFilter            | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.1080 | Zbb
167822 | Sherpa_CT10_ZeeMassiveCBPt280_500_CFilterBVeto       | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.386  | Zcc
167823 | Sherpa_CT10_ZeeMassiveCBPt280_500_CVetoBVeto         | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.506  | Zll
167824 | Sherpa_CT10_ZmumuMassiveCBPt280_500_BFilter          | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.1080 | Zbb
167825 | Sherpa_CT10_ZmumuMassiveCBPt280_500_CFilterBVeto     | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.386  | Zcc
167826 | Sherpa_CT10_ZmumuMassiveCBPt280_500_CVetoBVeto       | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.506  | Zll
167827 | Sherpa_CT10_ZtautauMassiveCBPt280_500_BFilter        | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.1080 | Zbb
167828 | Sherpa_CT10_ZtautauMassiveCBPt280_500_CFilterBVeto   | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.386  | Zcc
167829 | Sherpa_CT10_ZtautauMassiveCBPt280_500_CVetoBVeto     | SherpaHighVpTFullSim | 2.42E-01 | 1.12 |  0.506  | Zll
167830 | Sherpa_CT10_ZnunuMassiveCBPt280_500_BFilter          | SherpaHighVpTFullSim | 1.35E+00 | 1.12 |  0.1080 | Zbb
167831 | Sherpa_CT10_ZnunuMassiveCBPt280_500_CFilterBVeto     | SherpaHighVpTFullSim | 1.35E+00 | 1.12 |  0.386  | Zcc
167832 | Sherpa_CT10_ZnunuMassiveCBPt280_500_CVetoBVeto       | SherpaHighVpTFullSim | 1.35E+00 | 1.12 |  0.506  | Zll
#                                                                                           
167833 | Sherpa_CT10_ZeeMassiveCBPt500_BFilter                | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.1157 | Zbb
167834 | Sherpa_CT10_ZeeMassiveCBPt500_CFilterBVeto           | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.397  | Zcc
167835 | Sherpa_CT10_ZeeMassiveCBPt500_CVetoBVeto             | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.485  | Zll
167836 | Sherpa_CT10_ZmumuMassiveCBPt500_BFilter              | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.1157 | Zbb
167837 | Sherpa_CT10_ZmumuMassiveCBPt500_CFilterBVeto         | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.397  | Zcc
167838 | Sherpa_CT10_ZmumuMassiveCBPt500_CVetoBVeto           | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.485  | Zll
167839 | Sherpa_CT10_ZtautauMassiveCBPt500_BFilter            | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.1157 | Zbb
167840 | Sherpa_CT10_ZtautauMassiveCBPt500_CFilterBVeto       | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.397  | Zcc
167841 | Sherpa_CT10_ZtautauMassiveCBPt500_CVetoBVeto         | SherpaHighVpTFullSim | 1.33E-02 | 1.12 |  0.485  | Zll
167842 | Sherpa_CT10_ZnunuMassiveCBPt500_BFilter              | SherpaHighVpTFullSim | 7.32E-02 | 1.12 |  0.1157 | Zbb
167843 | Sherpa_CT10_ZnunuMassiveCBPt500_CFilterBVeto         | SherpaHighVpTFullSim | 7.32E-02 | 1.12 |  0.397  | Zcc
167844 | Sherpa_CT10_ZnunuMassiveCBPt500_CVetoBVeto           | SherpaHighVpTFullSim | 7.32E-02 | 1.12 |  0.485  | Zll
#
#Higgs backgrounds
161005 | PowhegPythia8_AU2CT10_ggH125_WW2lep                          | PowhegPythia | 0.4419      | 1      | 0.482 | H125WW
161305 | Pythia8_AU2CTEQ6L1_ttH125_WWinclusive                        | Pythia8      | 0.0195      | 1      | 1     | ttH125WW
161871 | Pythia8_AU2CTEQ6L1_ttH125_dilepbb                            | Pythia8      | 0.005571    | 1      | 1     | ttH125bb


#W/Z+gamma Sherpa samples
126739 | Sherpa_Wgamma                                                | Sherpa       | 163.11 | 1    | 1 | gammaW
126742 | Sherpa_Wgamma                                                | Sherpa       | 162.74 | 1    | 1 | gammaW
126856 | Sherpa_Wgamma                                                | Sherpa       | 162.92 | 1    | 1 | gammaW
145161 | Sherpa_Zgamma                                                | Sherpa       | 32.295 | 1    | 1 | gammaZ
145162 | Sherpa_Zgamma                                                | Sherpa       | 32.323 | 1    | 1 | gammaZ
126854 | Sherpa_Zgamma                                                | Sherpa       | 32.331 | 1    | 1 | gammaZ

# top
117050 | PowhegPythia_P2011C_ttbar                            | PowhegPythia  | 238.06   | 1.0 | 0.54298 | top
110101 | AcerMCPythia_P2011CCTEQ6L1_singletop_tchan_l         | AcerMCPythia  | 87.76    | 1.0 | 0.324   | stop
110119 | PowhegPythia_P2011C_st_schan_lep                     | PowhegPythia  | 5.61     | 1.0 | 0.324   | stop
110140 | PowhegPythia_P2011C_st_Wtchan_incl_DR                | PowhegPythia  | 22.37    | 1.0 | 1       | stop
#
#add top backups for systematics
117210 | AcerMCMorePS                                           | AcerMCPythia | 59.622  | 2.1681 | 1.0 | top_backup4
117209 | AcerMCLessPS                                           | AcerMCPythia | 59.624  | 2.1680 | 1.0 | top_backup3
105200 | MCAtNLO_ttbar                                          | Herwig       | 112.94  | 1.1446 | 1.0 | top_backup1
105860 | PowhegHerwig_ttbar                                     | PowhegHerwig | 115.56  | 1.1186 | 1.0 | top_backup2
164440 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 4.7929  | 1.6340 | 1.0 | top_backup5
164441 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 5.0680  | 1.6340 | 1.0 | top_backup6
164442 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 3.2573  | 1.6340 | 1.0 | top_backup7 
164443 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 2.1758  | 1.6340 | 1.0 | top_backup8
164450 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 19.193  | 1.7020 | 1.0 | top_backup9
164451 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 20.288  | 1.7020 | 1.0 | top_backup10
164452 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 13.085  | 1.7020 | 1.0 | top_backup11
164453 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 8.6922  | 1.7020 | 1.0 | top_backup12
116108 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 1.4353  | 1.6890 | 1.0 | top_backup13
116109 | AlpgenHerwig_ttbar                                     | AlpgenHerwig | 2.7130  | 1.6890 | 1.0 | top_backup14
#
#
# diboson
161995 | Herwig_AUET2CTEQ6L1_WW_NoLeptonFilter                | Herwig  | 55.427  | 1.0 | 1       | WW
161996 | Herwig_AUET2CTEQ6L1_WZ_NoLeptonFilter                | Herwig  | 22.6942 | 1.0 | 1       | WZ
161997 | Herwig_AUET2CTEQ6L1_ZZ_NoLFilt                       | Herwig  | 7.697   | 1.0 | 1       | ZZ_backup1
169492 | Herwig_AUET2CTEQ6L1_ZZ_LepEF_METVeto                 | Herwig  | 7.697   | 1.0 | 0.16491 | ZZ
169493 | Herwig_AUET2CTEQ6L1_ZZ_METEF_LepVeto                 | Herwig  | 7.697   | 1.0 | 0.23016 | ZZ
#
end
