#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | name 

# signals
146820 | Z->ee, Light jets in ME				| Sherpa 		| 1051.2 	| 1.12 	| 1 	| Zcl
146821 | Z->mumu, Light jets in ME 				| Sherpa 		| 1052.3 	| 1.12 | 1 		| Zcl
146822 | Z->tautau, Light jets in ME 			| Sherpa 		| 1051.3 	| 1.12 | 1 		| Zcl
146823 | Z->nunu, Light jets in ME 				| Sherpa 		| 5679.8 	| 1.12 | 1 		| Zcl


147770 | Z->ee , using NLO ME                                   | Sherpa                | 1.2079E+03 | 1.2      | 1        | Z_backup1
147771 | Z->mumu, using NLO ME                                  | Sherpa                | 1.2078E+03 | 1.2      | 1        | Z_backup1
147772 | Z->tautau, using NLO ME                                | Sherpa                | 1.2071E+03 | 1.2      | 1        | Z_backup1
147773 | Z->nunu, using NLO ME                                  | Sherpa                | 6.5214E+03 | 1.2      | 1        | Z_backup1

107650 | Z(ee)+jets - 0 partons                                 | AlpGenJimmy   | 711.8733      | 1.25    | 1      | Zll_backup1
107651 | Z(ee)+jets - 1 partons                                 | AlpGenJimmy   | 155.0233      | 1.25    | 1      | Zll_backup1
107652 | Z(ee)+jets - 2 partons                                 | AlpGenJimmy   | 48.8203       | 1.25    | 1      | Zll_backup1
107653 | Z(ee)+jets - 3 partons                                 | AlpGenJimmy   | 14.2036       | 1.25    | 1      | Zll_backup1
107654 | Z(ee)+jets - 4 partons                                 | AlpGenJimmy   | 3.7725        | 1.25    | 1      | Zll_backup1
107655 | Z(ee)+jets - 5 partons                                 | AlpGenJimmy   | 1.1085        | 1.25    | 1      | Zll_backup1                                                                                                           
107660 | Z(mumu)+jets - 0 partons                               | AlpGenJimmy   | 711.8733      | 1.25    | 1      | Zll_backup1
107661 | Z(mumu)+jets - 1 partons                               | AlpGenJimmy   | 155.0233      | 1.25    | 1      | Zll_backup1
107662 | Z(mumu)+jets - 2 partons                               | AlpGenJimmy   | 48.8203       | 1.25    | 1      | Zll_backup1
107663 | Z(mumu)+jets - 3 partons                               | AlpGenJimmy   | 14.2036       | 1.25    | 1      | Zll_backup1
107664 | Z(mumu)+jets - 4 partons                               | AlpGenJimmy   | 3.7725        | 1.25    | 1      | Zll_backup1
107665 | Z(mumu)+jets - 5 partons                               | AlpGenJimmy   | 1.1085        | 1.25    | 1      | Zll_backup1
107670 | Z(tautau)+jets - 0 partons                     | AlpGenJimmy   | 711.8733      | 1.25     | 1     | Zll_backup1
107671 | Z(tautau)+jets - 1 partons                     | AlpGenJimmy   | 155.0233      | 1.25     | 1     | Zll_backup1
107672 | Z(tautau)+jets - 2 partons                     | AlpGenJimmy   | 48.8203       | 1.25     | 1     | Zll_backup1
107673 | Z(tautau)+jets - 3 partons                     | AlpGenJimmy   | 14.2036       | 1.25     | 1     | Zll_backup1
107674 | Z(tautau)+jets - 4 partons                     | AlpGenJimmy   | 3.7725        | 1.25     | 1     | Zll_backup1
107675 | Z(tautau)+jets - 5 partons                     | AlpGenJimmy   | 1.1085        | 1.25     | 1     | Zll_backup1
156803 | Z(nunu)+jets - 0 partons                               | AlpGenJimmy   | 26.8029       | 1.25   | 1       | Zll_backup1
156804 | Z(nunu)+jets - 1 partons                               | AlpGenJimmy   | 406.5197      | 1.25   | 1       | Zll_backup1
156809 | Z(nunu)+jets - 2 partons                               | AlpGenJimmy   | 214.5615      | 1.25   | 1       | Zll_backup1
156814 | Z(nunu)+jets - 3 partons                               | AlpGenJimmy   | 74.3262       | 1.25   | 1       | Zll_backup1
156819 | Z(nunu)+jets - 4 partons                               | AlpGenJimmy   | 20.9212       | 1.25   | 1       | Zll_backup1
156824 | Z(nunu)+jets - 5 partons                               | AlpGenJimmy   | 6.5269        | 1.25   | 1       | Zll_backup1

167000 | Wp->enubb 								| PowHeg 		| 27.588 	| 1 	| 1 	| Wbb
167001 | Wp->munubb 							| PowHeg 		| 27.796 	| 1 	| 1 	| Wbb 
167002 | Wp->taunubb 							| PowHeg 		| 27.467 	| 1 	| 1 	| Wbb
167003 | Wm->enubb 								| PowHeg 		| 17.67 	| 1 	| 1 	| Wbb
167004 | Wm->munubb 							| PowHeg 		| 17.708 	| 1 	| 1 	| Wbb
167005 | Wm->taunubb 							| PowHeg 		| 17.529 	| 1 	| 1 	| Wbb

107280 | Wbb+0 partons                                                  | AlpGenJimmy   | 55.682        | 1.20      | 1    | Wbb_backup1
107281 | Wbb+1 parton                                                   | AlpGenJimmy   | 45.243        | 1.20      | 1    | Wbb_backup1
107282 | Wbb+2 partons                                                  | AlpGenJimmy   | 23.246        | 1.20      | 1    | Wbb_backup1
107283 | Wbb+3 partons                                                  | AlpGenJimmy   | 11.144        | 1.20      | 1    | Wbb_backup1

117284 | Wcc+0 partons 							| AlpGenJimmy 	| 150.19 	| 1.20 	| 1	| Wcc
117285 | Wcc+1 parton 							| AlpGenJimmy 	| 132.68 	| 1.20 	| 1	| Wcc
117286 | Wcc+2 partons 							| AlpGenJimmy 	| 71.807 	| 1.20 	| 1	| Wcc
117287 | Wcc+3 partons 							| AlpGenJimmy 	| 30.264 	| 1.20 	| 1	| Wcc   

117293 | Wc+0 partons 							| AlpGenJimmy 	| 807.77 	| 1.52 | 1	| Wcl
117294 | Wc+1 parton 							  | AlpGenJimmy 	| 267.61 	| 1.52 | 1	| Wcl
117295 | Wc+2 partons 							| AlpGenJimmy 	| 69.823 	| 1.52 | 1	| Wcl
117296 | Wc+3 partons 							| AlpGenJimmy 	| 20.547 	| 1.52 | 1	| Wcl
117297 | Wc+4 partons 							| AlpGenJimmy 	| 4.3069 	| 1.52 | 1	| Wcl
                                           								
107680 | W(enu)+jets - 0 partons 				| AlpGenJimmy 	| 8037.6333 | 1.20 | 1		| Wll
107681 | W(enu)+jets - 1 parton 				| AlpGenJimmy 	| 1579.7666 | 1.20 | 1		| Wll
107682 | W(enu)+jets - 2 partons 				| AlpGenJimmy 	| 477.4166 	| 1.20 | 1		| Wll
107683 | W(enu)+jets - 3 partons 				| AlpGenJimmy 	| 133.8866 	| 1.20 | 1		| Wll
107684 | W(enu)+jets - 4 partons 				| AlpGenJimmy 	| 35.6136 	| 1.20 | 1		| Wll
107685 | W(enu)+jets - 5 partons 				| AlpGenJimmy 	| 10.5546 	| 1.20 | 1		| Wll
                                                   								
107690 | W(munu)+jets - 0 partons 				| AlpGenJimmy 	| 8037.6333 | 1.20 	| 1	| Wll
107691 | W(munu)+jets - 1 parton 				  | AlpGenJimmy 	| 1579.7666 | 1.20 	| 1	| Wll
107692 | W(munu)+jets - 2 partons 				| AlpGenJimmy 	| 477.4166 	| 1.20 	| 1	| Wll
107693 | W(munu)+jets - 3 partons 				| AlpGenJimmy 	| 133.8866	| 1.20 	| 1	| Wll
107694 | W(munu)+jets - 4 partons 				| AlpGenJimmy 	| 35.6136 	| 1.20 	| 1	| Wll
107695 | W(munu)+jets - 5 partons 				| AlpGenJimmy 	| 10.5546 	| 1.20 	| 1	| Wll   
                                                 								
107700 | W(taunu)+jets - 0 partons 				| AlpGenJimmy 	| 8037.6333 | 1.20 | 1 		| Wll
107701 | W(taunu)+jets - 1 parton 				| AlpGenJimmy 	| 1579.7666 | 1.20 | 1 		| Wll
107702 | W(taunu)+jets - 2 partons 				| AlpGenJimmy 	| 477.4166 	| 1.20 | 1 		| Wll
107703 | W(taunu)+jets - 3 partons 				| AlpGenJimmy 	| 133.8866 	| 1.20 | 1 		| Wll
107704 | W(taunu)+jets - 4 partons 				| AlpGenJimmy 	| 35.6136 	| 1.20 | 1 		| Wll
107705 | W(taunu)+jets - 5 partons 				| AlpGenJimmy 	| 10.5546 	| 1.20 | 1 		| Wll  

105200 | semileptonic ttbar 					| McAtNlo 		| 112.94 	| 1.1446 	| 1 | top
105860 | semileptonic ttbar                                     | Powheg+fHerwig| 114.46        | 1.1293     | 1   | top_backup1
105861 | semileptonic ttbar                                     | Powheg+Pythia | 114.46        | 1.1293     | 1   | top_backup2

108343 | single t s-channel (W->enu) 			| McAtNlo 		| 0.564 	| 1.0744 	| 1 | stop
108344 | single t s-channel (W->munu) 			| McAtNlo 		| 0.564 	| 1.0737 	| 1 | stop
108345 | single t s-channel (W->taunu) 			| McAtNlo 		| 0.564 	| 1.0736 	| 1 | stop
108346 | Wt 									              | McAtNlo 		| 20.66 	| 1.0828 	| 1 | stop
117360 | single t t-channel (W->enu) 			| AcerMc 		| 8.589 	| 1 | 1.1035 	| stop
117361 | single t t-channel (W->munu) 			| AcerMc 		| 8.585 	| 1.104 	| 1 | stop
117362 | single t t-channel (W->taunu) 			| AcerMc 		| 8.582 	| 1.1045 	| 1 | stop

147774 | W->enu, using NLO ME, massless HF              | Sherpa        | 11878 | 1.02 | 1 | Wcl_backup1
147775 | W->munu, using NLO ME and massless HF  | Sherpa        | 11879 | 1.02 | 1 | Wcl_backup1
147776 | W->taunu, using NLO ME and massless HF | Sherpa        | 11872| 1 | 1 | Wcl_backup1
157534 | W->enu, Wpt>200, massless HF,                  | Sherpa        | 8.0672 | 1 | 1 | Wbb_backup2

167150 | W->enu, Wpt>0, massive B, B-Filter     | Sherpa        | 11.03E+03 | 0.01664 | 1 | W_backup1
167151 | W->munu, Wpt>0, massive B, B-Filter    | Sherpa        | 11.03E+03 | 0.01664 | 1 | W_backup1
167152 | W->taunu, Wpt>0, massive B, B-Filter   | Sherpa        | 11.03E+03  | 0.01664 | 1 | W_backup1
167153 | W->enu, Wpt>0, massive B, B-Veto               | Sherpa        | 11.03E+03  | 9.8328E-01  | 1 | W_backup1
